Site No,Location,Gage,Remarks,Valid
12045500,"LOCATION - Lat 48Â°03'18"", long 123Â°34'55"" referenced to North American Datum of 1927, in NE 1/4 NW 1/4 sec.33, T.30 N., R.7 W., Clallam County, WA, Hydrologic Unit 17110020, Olympic National Forest, on right bank near the site of the McDonald Bridge (removed), 0.7 mi upstream from Little River, 1.1 mi upstream of highway 101 Bridge, 4.9 mi below the site of Glines Canyon Dam (removed), 8 mi southwest of Port Angeles, and at mile 8.6.","GAGE - Water-stage recorder. Datum of gage is 200.00 ft above NGVD of 1929. Oct. 1, 1897, to Dec. 31, 1901, nonrecording gage at McDonald Bridge at different datum. Dec. 9, 1918, to May 1, 1936, water-stage recorder under McDonald Bridge at datum 7.4 ft higher.","REMARKS - Flow partly regulated by Lake Mills 4.9 mi upstream (station 12045000) from April 1927 to September 2011. Chemical analyses July 1959 to June 1960, July 1960 to September 1970 (partial-record station), October 1971 to September 1986. Water temperatures April 1976 to August 1977, October 1994 to April 1998, April 2004 to September 2006. Turbidity August 2003 to September 2006. Suspended sediment discharge April 1994 to September 1995. Miscellaneous sediment measurements October 1995 to September 1997. Prior to 1962, published as Elwha River near Port Angeles. October 1971 to September 1974 published as Elwha River below Little River, near Port Angeles. U.S. Geological Survey satellite telemeter at station.",2.0
12048000,"LOCATION - Lat 48Â°00'52"", long 123Â°07'53"" referenced to North American Datum of 1927, in NW 1/4 NE 1/4 sec.13, T.29 N., R.4 W., Clallam County, WA, Hydrologic Unit 17110020, on right bank 1.0 mi upstream from Canyon Creek, 4.8 mi southwest of Sequim, and at mile 11.8.","GAGE - Water-stage recorder. Datum of gage is 569.3 ft above NGVD of 1929 (river-profile survey). June 8, 1923 to Sept. 30, 1930, nonrecording gage just above fish-hatchery diversion 0.5 mi downstream at different datum. June 19 to Aug. 12, 1937, nonrecording gage at present site and datum.","REMARKS - No regulation or diversion upstream from station. Water temperatures July 1968 to September 1969, October 1970 to December 1970, January 2000 to September 2001. Suspended sediment discharge November 1999 to September 2001. U.S. Geological Survey satellite telemeter at station.",2.0
12052210,"LOCATION - Lat 47Â°47'05"", long 122Â°58'42"" referenced to North American Datum of 1927, in SW 1/4 SE 1/4 sec.31, T.27 N., R.2 W., Jefferson County, WA, Hydrologic Unit 17110018, on left bank, 5.5 mi southwest of Quilcene, and at river mile 9.4. Drainage area is 49.4 square miles. Datum of gage is 1,009.23 ft. above NGVD of 1929.","GAGE - Water-stage recorder and crest-stage gage. Datum of gage is 1,012.62 ft above NAVD of 1988 (USGS GNSS Level II survey July 7, 2021) and 1,009.23 ft above NGVD of 1929.",REMARKS - Water for municipal use is diverted about 100 feet upstream by City of Port Townsend.,0.0
12054000,"LOCATION - Lat 47Â°41'03"", long 123Â°00'37"" referenced to North American Datum of 1927, in NW 1/4 SW 1/4 sec.01, T.25 N., R.3 W., Jefferson County, WA, Hydrologic Unit 17110018, Olympic National Forest, on left bank 5.2 mi west of Brinnon, and at mile 4.5.","GAGE - Water-stage recorder. Datum of gage is 241.49 ft above NGVD of 1929. Aug. 19, 1910, to Dec. 31, 1911, nonrecording gage at same site at different datum.",REMARKS - No regulation or diversion upstream from station. U.S. Geological Survey satellite telemeter at station. Chemical analyses April 1972 to September 1974.,2.0
12056500,"LOCATION - Lat 47Â°30'52"", long 123Â°19'43"" referenced to North American Datum of 1927, in NW 1/4 sec.04, T.23 N., R.5 W., Mason County, WA, Hydrologic Unit 17110017, Olympic National Park, on left bank 1.2 mi upstream from Lake Cushman, 2.8 mi upstream from Dry Creek, 11.3 mi northwest of Hoodsport, and at mile 29.2.","GAGE - Water-stage recorder and crest-stage gage. Datum of gage is 762.26 ft above NGVD of 1929 (by topographic map) and is 766.194 ft above NAVD of 1988 (GNSS survey by USGS on July 1, 2021). Prior to Nov. 1, 1934, water-stage recorder, and Nov. 1, 1934, to Nov. 10, 1941, nonrecording gages, on right bank at same datum.",REMARKS - No regulation or diversion upstream from station. U.S. Geological Survey satellite telemeter at station.,2.0
12058790,"LOCATION - Lat 47Â°23'48"", long 123Â°12'08"" referenced to North American Datum of 1927, in SW 1/4 NW 1/4 sec.16, T.22 N., R.4 W., Mason County, WA, Hydrologic Unit 17110017, on right bank 1000 ft downstream from Lower Cushman Dam (Cushman Dam No.2), 2.8 mi northwest of Potlatch, and at mile 17.2. Drainage area is 97.9 sq. miles. Elevation of gage is 328 ft. above NGVD of 1929.","GAGE - Water-stage recorder and crest-stage gage. Elevation of gage is 275 ft above NGVD of 1929, from topographic map. Prior to Oct. 1 2008, water-stage recorder at sites 0.7 mi downstream at different datums.","REMARKS - Upper portion of McTaggart Creek is diverted through Deer Meadow Creek into Cushman Reservoir No. 2. Flow regulated at Lake Cushman and at Cushman Reservoir No. 2 to supply powerplant, which discharges into Hood Canal. Entire flow of river normally diverted at Cushman Dam No. 2 except instream flow requirement and infrequent larger releases. U.S. Geological Survey satellite telemeter at station.",0.0
12059500,"LOCATION - Lat 47Â°19'48"", long 123Â°14'31"" referenced to North American Datum of 1927, in NE 1/4 NW 1/4 sec.07, T.21 N., R.4 W., Mason County, WA, Hydrologic Unit 17110017, on left bank 1.1 mi upstream from South Fork Skokomish River, 5.4 mi southwest of Potlatch, 7.2 mi downstream from City of Tacoma Cushman Dam No. 2, and at river mile 10.1. Drainage area is 117 mi2, includes, 99 mi2 upstream from Cushman Dam No. 2, which is noncontributing except during spillage. Datum of gage is 63.49 feet above NGVD of 1929.","GAGE - Water-stage recorder and crest-stage gage. Datum of gage is 63.49 ft above NGVD of 1929 (levels by City of Tacoma). Prior to Nov. 27, 1949, and Mar. 18 to May 9, 1950, water-stage recorder at site 200 ft downstream at present datum.","REMARKS - Upper portion of McTaggart Creek is diverted through Deer Meadow Creek into Cushman Reservoir No. 2. Flow regulated at Lake Cushman and at Cushman Reservoir No. 2 to supply powerplant, which discharges into Hood Canal. Entire flow of river normally diverted at Cushman Dam No. 2 except required in stream flow and infrequent large releases. Water temperatures March 1965 to September 1982. U.S. Geological Survey satellite telemeter at station.",0.0
12060500,"LOCATION - Lat 47Â°20'26"", long 123Â°16'44"" referenced to North American Datum of 1927, in SW 1/4 NE 1/4 sec.02, T.21 N., R.5 W., Mason County, WA, Hydrologic Unit 17110017, on right bank 3.0 mi upstream from Vance Creek, 3.2 mi upstream from confluence with North Fork, and 8.5 mi west of Union.",GAGE - Water-stage recorder. Datum of gage is 103.35 ft above NGVD of 1929.,REMARKS - No regulation or diversion upstream from station. U.S. Geological Survey satellite telemeter at station.,2.0
12061250,"LOCATION - Lat 47Â°19'21.05"", long 123Â°17'09.95"" referenced to North American Datum of 1983, in SE 1/4 NW 1/4 sec.11, T.21 N., R.5 W., Mason County, WA, Hydrologic Unit 17110017,",GAGE - Water-stage recorder. Datum of gage is North American Vertical Datum of 1988.,"REMARKS - No regulation or diversion upstream from station. U.S. Geological Survey satellite telemeter at station.
Water Year 2019: Records fair except for estimated discharges, which are poor.
Water Year 2020: Records fair except for estimated discharges and discharges from July 9 - Oct. 1, which are poor.",2.0
12061500,"LOCATION - Lat 47Â°18'36"", long 123Â°10'33"" referenced to North American Datum of 1927, in SE 1/4 NW 1/4 sec.15, T.21 N., R.4 W., Mason County, WA, Hydrologic Unit 17110017, on upstream side of bridge on U.S. Highway 101, 3.7 mi downstream from confluence of North and South Forks, 4.7 mi southwest of Potlatch, and at mile 5.3.","GAGE - Water-stage recorder. Datum of gage is 13.99 ft above NAVD of 1988 (USGS Levels Oct. 4, 2019) and 10.53 ft above NGVD of 1929 (topographical map). Prior to May 27, 1964, water-stage recorders or nonrecording gage at several sites about 0.6 mi upstream at different datums. Supplementary water-stage recorder on right bank at site 0.6 mi upstream at datum 16.47 ft above NGVD of 1929 used Nov. 16 to Dec. 10, 1964, June 11 to July 7, and Nov. 2-24, 1965.","REMARKS - Flow partly regulated at Lake Cushman and Cushman Reservoir No. 2. In normal years, about half of the flow of North Fork is diverted at Cushman Dam No. 2 and is discharged into Hood Canal through Cushman powerplant No. 2. Chemical analyses August 1960 to September 1961, October 1961 to September 1970 (partial-record station), October 1971 to September 1974. Water temperature May 1955 to September 1962, October 1963 to September 1982. Water temperature and specific conductance July 1996 to April 1998. U.S. Geological Survey satellite telemeter at station. Due to bank overflow, discharges above 16.40 ft gage height cannot be determined by direct methods.",0.0
12061620,,,,0.0
12062502,,,,0.0
1206250575,,,,0.0
12073500,"LOCATION - Lat 47Â°23'22"", long 122Â°41'52"" referenced to North American Datum of 1927, in SE 1/4 SE 1/4 sec.17, T.22 N., R.1 E., Pierce County, WA, Hydrologic Unit 17110019, on right bank 25 ft upstream from bridge, 0.1 mi upstream from mouth, and 2.5 mi west of Wauna.","GAGE - Water-stage recorder. Elevation of gage is 100 ft above NGVD of 1929, from topographic map. Prior to Sept. 27, 1978, at site 50 ft downstream and prior to June 26, 1951, at datum 0.86 ft higher.",REMARKS - No regulation or diversion upstream from station. U.S. Geological Survey satellite telemeter at station.,2.0
12076800,"LOCATION - Lat 47Â°12'43"", long 123Â°06'42"" referenced to North American Datum of 1927, in NE 1/4 NW 1/4 sec.19, T.20 N., R.3 W., Mason County, WA, Hydrologic Unit 17110019, on right bank 0.15 mi upstream from 7th Street bridge, at mile 1.1.","GAGE - Water-stage recorder and crest-stage gage. Datum of gage NAVD88. Prior to Aug. 16, 2011, at location 100 feet downstream at same datum.",REMARKS - No regulation or diversion upstream from station. U.S. Geological Survey satellite telemeter at station,2.0
12079000,"LOCATION - Lat 46Â°51'08"", long 122Â°40'03"" referenced to North American Datum of 1927, in SE 1/4 SW 1/4 sec.22, T.16 N., R.1 E., Thurston County, WA, Hydrologic Unit 17110016, on right bank about 100 ft upstream from county road crossing, 0.4 mi downstream from outlet of Reichel Lake, 2.7 mi southeast of Rainier, and at river mile 25.9.",GAGE - Water-stage recorder and crest-stage gage. Datum of gage is 348.77 ft above NGVD of 1929.,"REMARKS - Probably some small diversions for irrigation and domestic use upstream from station. No regulation. U.S. Geological Survey satellite telemeter at station. Chemical analyses July 1959 to July 1960, October 1971 to September 1972. Water temperatures August 1968 to September 1970.",1.0
12080010,"LOCATION - Lat 47Â°00'43"", long 122Â°54'07"" referenced to North American Datum of 1927, in NW 1/4 T.18 N., R.2 W., Thurston County, WA, Hydrologic Unit 17110016, Land Grant parcel 60, on left bank at ""E"" Street bridge, 0.2 mi upstream from Capitol Boulevard, and at mile 2.4.","GAGE - Water-stage recorder. Datum of gage is 62.01 ft above NGVD of 1929. April 1945 to Nov. 1954, water-stage recorder, Nov. 1954 to June 1957, crest-stage gage, June 1957 to June 1964, water-stage recorder, at site 1 mi upstream, at different datum.","REMARKS - Records good, except for estimated daily discharges and discharges above 2,000 ft3/s, which are fair. Some small diversions for irrigation and domestic use upstream from station. No regulation. U.S. Geological Survey satellite telemeter at station.
Water Years 2014 and 2016: Records good, except for estimated daily discharges and discharges above 2,000 ft3/s, which are fair.
Water Year 2015: Records fair, except for estimated daily discharges and discharges above 2,000 ft3/s, which are poor.
Water Years 2017 and 2018: Records good, except for estimated discharges and discharges above 2,000 ft3/s, which are fair.
Water Year 2019 and 2020: Records fair, except for estimated discharges and discharges above 2,000 ft3/s, which are poor.",2.0
12082500,"LOCATION - Lat 46Â°45'10"", long 122Â°04'57"" referenced to North American Datum of 1927, in SW 1/4 SW 1/4 sec.29, T.15 N., R.6 E., Pierce County, WA, Hydrologic Unit 17110015, on right bank 100 ft downstream of old railroad bridge, 1.2 mi west of National, 3.3 mi upstream of Mineral Creek, and at river mile 57.8.","GAGE - Water-stage recorder and crest-stage gage. Elevation of gage is 1,450 ft above NGVD of 1929, from river-profile map.",REMARKS - Small diversions for domestic use. Water temperatures published October 1951 to September 1982. U.S. Geological Survey satellite telemeter at station.,2.0
12083000,"LOCATION - Lat 46Â°44'40"", long 122Â°08'36"" referenced to North American Datum of 1927, in SE 1/4 SW 1/4 sec.35, T.15 N., R.5 E., Lewis County, WA, Hydrologic Unit 17110015, on right bank 0.3 mi downstream from railroad bridge, 2.3 mi northeast of Mineral, and at mile 1.3.","GAGE - Water-stage recorder. Elevation of gage is 1,340 ft above NGVD of 1929, from topographic map. Prior to May 14, 1987, at site 0.25 mi downstream at datum 1.90 ft lower. Prior to June 2000, at site 400 ft downstream at same datum.","REMARKS - No regulation or diversion upstream from station. U.S. Geological Survey satellite telemeter at station.
Water Year 2014: No estimated daily discharges. Records fair.
Water Years 2015 and 2016: No estimated daily discharges. Records good.
Water Year 2017: Records fair except estimated daily discharges, which are poor.
Water Year 2018: No estimated discharges. Records fair.
Water Years 2019 and 2020: No estimated discharges. Records good.",2.0
12086000,,,,0.0
12086500,"LOCATION - Lat 46Â°50'22"", long 122Â°19'41"" referenced to North American Datum of 1927, in NW 1/4 SE 1/4 sec.29, T.16 N., R.4 E., Pierce County, WA, Hydrologic Unit 17110015, on right bank 0.4 mi downstream from Tacoma Public Utilities power plant, 0.6 mi northwest of La Grande, 0.8 mi upstream of Mashel River, and at mile 40.4.","GAGE - Water-stage recorder and crest-stage gage. Elevation of gage is 490 ft above NGVD of 1929, from river-profile map. See WSP 1932 for history of changes prior to Feb. 8, 1945.","REMARKS - Flow regulated by Tacoma Public Utilities powerplant at La Grande since December 1943, by Alder Reservoir (station 12085000) since November 1944, and by La Grande Reservoir (station 12085500) since February 1945. All diversions returned to river upstream from gage. U.S. Geological Survey satellite telemeter at station. Chemical analyses October 1972 to September 1985. Water temperatures October 1965 to September 1982.",0.0
